"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
93,2675,"2'-deoxyguanosine 5'-monophosphate (dGMP)","Nucleotide","Purine Metabolism, Guanine containing",35662,"LC/MS Pos Early",100001546,950,348.07036,"902-04-5","65059","C00362","HMDB01044","dGMP"
94,2612,"2'-deoxyinosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,"LC/MS Neg",100000135,1688,251.07857,"890-38-0","65058","C05512","HMDB00071","Deoxyinosine"
95,2707,"2'-deoxyuridine","Nucleotide","Pyrimidine Metabolism, Uracil containing",1412,"LC/MS Neg",536,1586,111.01997,"951-78-0","13712","C00526","HMDB00012","Deoxyuridine"
96,1165,"2-hydroxyadipate","Lipid","Fatty Acid, Dicarboxylate",31934,"LC/MS Polar",100001153,3000,161.04554,"18294-85-4","193530","C02360","HMDB00321","2-Hydroxyadipic acid"
97,347,"2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",52281,"LC/MS Polar",100008928,1258,103.04006,"","","","","2-Hydroxybutyric acid/2-Hydroxyisobutyric acid"
98,1296,"2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",42489,"LC/MS Neg",100004089,4840,187.13396,"5393-81-7","21488","","","2-Hydroxycapric acid"
99,1162,"2-hydroxyglutarate","Lipid","Fatty Acid, Dicarboxylate",37253,"LC/MS Polar",100002070,3352.8,147.02989,"40951-21-1","43","C02630","HMDB00606","2-Hydroxyglutaric acid"
100,1338,"2-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy",52916,"LC/MS Neg",100008934,5211,215.16526,"2984-55-6","97783","","","2-Hydroxylauric acid"
101,1298,"2-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",35675,"LC/MS Neg",100001579,5511.2,271.22786,"764-67-0","92836","","HMDB31057","2-Hydroxypalmitic acid"
102,1299,"2-hydroxystearate","Lipid","Fatty Acid, Monohydroxy",17945,"LC/MS Neg",1239,5695,299.25917,"629-22-1","69417","C03045","","2-Hydroxystearic acid"
103,1751,"2-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",32506,"LC/MS Neg",100000987,6250,279.23293,"3443-82-1","5365676","","HMDB11538","MG 18:2"
104,288,"2-methylbutyrylcarnitine (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",45095,"LC/MS Pos Early",100001509,3035,246.16999,"31023-25-3","6426901","","HMDB00378","CAR 4:0;2Me"
105,1027,"2-methylcitrate/homocitrate","Energy","TCA Cycle",52282,"LC/MS Neg",100008929,575,205.03538,"","","","","Homocitric acid"
106,1230,"2-methylmalonyl carnitine","Lipid","Fatty Acid Synthesis",35482,"LC/MS Pos Early",100001596,2440,262.12852,"149181-64-6","53481628","","HMDB13133","CAR DC3:0;2Me"
107,1740,"2-myristoylglycerol (14:0)","Lipid","Monoacylglycerol",34383,"LC/MS Neg",100001408,6230,227.20163,"27214-38-6","137938","","","MG 0:0/14:0/0:0"
